,year,num_days_above_90
0,1980,2.0
1,1981,6.0
2,1982,0.0
3,1983,0.0
4,1984,0.0
5,1985,0.0
6,1986,0.0
7,1987,18.0
8,1988,7.0
9,1989,1.0
10,1990,0.0
11,1991,13.0
12,1992,0.0
13,1993,0.0
14,1994,28.0
15,1995,10.0
16,1996,4.0
17,1997,0.0
18,1998,14.0
19,1999,64.0
20,2000,43.0
21,2001,71.0
22,2002,32.0
23,2003,17.0
24,2004,20.0
25,2005,85.0
26,2006,133.0
27,2007,113.0
28,2008,59.0
29,2009,141.0
30,2010,138.0
31,2011,137.0
32,2012,76.0
33,2013,95.0
34,2014,72.0
35,2015,116.0
36,2016,174.0
37,2017,108.0
38,2018,158.0
39,2019,155.0
40,2020,183.0
41,2021,166.0
42,2022,165.0
43,2023,177.0
44,2024,139.0
0,2025,137.0
1,2026,137.0
2,2027,156.0
3,2028,166.0
4,2029,175.0
5,2030,183.0
6,2031,165.0
7,2032,174.0
8,2033,174.0
9,2034,133.0
10,2035,168.0
11,2036,205.0
12,2037,197.0
13,2038,181.0
14,2039,228.0
15,2040,230.0
16,2041,217.0
17,2042,202.0
18,2043,199.0
19,2044,189.0
20,2045,217.0
21,2046,254.0
22,2047,230.0
23,2048,220.0
24,2049,243.0
25,2050,283.0
26,2051,301.0
27,2052,272.0
28,2053,267.0
29,2054,275.0
30,2055,271.0
31,2056,246.0
32,2057,262.0
33,2058,287.0
34,2059,301.0
35,2060,272.0
36,2061,283.0
37,2062,315.0
38,2063,312.0
39,2064,295.0
40,2065,288.0
41,2066,318.0
42,2067,336.0
43,2068,344.0
44,2069,330.0
45,2070,345.0
46,2071,341.0
47,2072,321.0
48,2073,320.0
49,2074,331.0
50,2075,354.0
51,2076,346.0
52,2077,335.0
53,2078,342.0
54,2079,356.0
55,2080,358.0
