,year,num_days_above_80
0,1980,3.0
1,1981,2.0
2,1982,5.0
3,1983,17.0
4,1984,8.0
5,1985,1.0
6,1986,5.0
7,1987,3.0
8,1988,1.0
9,1989,14.0
10,1990,10.0
11,1991,1.0
12,1992,1.0
13,1993,0.0
14,1994,7.0
15,1995,25.0
16,1996,7.0
17,1997,9.0
18,1998,3.0
19,1999,6.0
20,2000,2.0
21,2001,10.0
22,2002,2.0
23,2003,13.0
24,2004,5.0
25,2005,11.0
26,2006,16.0
27,2007,1.0
28,2008,1.0
29,2009,4.0
30,2010,2.0
31,2011,4.0
32,2012,2.0
33,2013,11.0
34,2014,3.0
35,2015,3.0
36,2016,5.0
37,2017,7.0
38,2018,21.0
39,2019,8.0
40,2020,13.0
41,2021,9.0
42,2022,16.0
43,2023,10.0
0,2024,0.0
1,2025,18.0
2,2026,27.0
3,2027,8.0
4,2028,18.0
5,2029,8.0
6,2030,2.0
7,2031,3.0
8,2032,13.0
9,2033,27.0
10,2034,21.0
11,2035,18.0
12,2036,12.0
13,2037,9.0
14,2038,15.0
15,2039,22.0
16,2040,17.0
17,2041,14.0
18,2042,24.0
19,2043,31.0
20,2044,26.0
21,2045,16.0
22,2046,18.0
23,2047,25.0
24,2048,31.0
25,2049,17.0
26,2050,28.0
27,2051,41.0
28,2052,35.0
29,2053,40.0
30,2054,48.0
31,2055,38.0
32,2056,47.0
33,2057,50.0
34,2058,40.0
35,2059,42.0
36,2060,64.0
37,2061,44.0
38,2062,25.0
39,2063,42.0
40,2064,44.0
41,2065,49.0
42,2066,42.0
43,2067,50.0
44,2068,49.0
45,2069,50.0
46,2070,52.0
47,2071,49.0
48,2072,43.0
49,2073,41.0
50,2074,31.0
51,2075,53.0
52,2076,59.0
53,2077,69.0
54,2078,67.0
55,2079,71.0
56,2080,66.0
