,year,num_days_above_100
0,1980,2.0
1,1981,0.0
2,1982,3.0
3,1983,1.0
4,1984,1.0
5,1985,0.0
6,1986,1.0
7,1987,0.0
8,1988,2.0
9,1989,0.0
10,1990,1.0
11,1991,0.0
12,1992,2.0
13,1993,1.0
14,1994,0.0
15,1995,0.0
16,1996,0.0
17,1997,0.0
18,1998,1.0
19,1999,0.0
20,2000,1.0
21,2001,0.0
22,2002,0.0
23,2003,0.0
24,2004,1.0
25,2005,0.0
26,2006,0.0
27,2007,0.0
28,2008,0.0
29,2009,0.0
30,2010,0.0
31,2011,0.0
32,2012,0.0
33,2013,0.0
34,2014,0.0
35,2015,1.0
36,2016,0.0
37,2017,0.0
38,2018,0.0
39,2019,0.0
40,2020,0.0
41,2021,0.0
42,2022,0.0
43,2023,0.0
0,2024,0.0
1,2025,1.0
2,2026,0.0
3,2027,0.0
4,2028,0.0
5,2029,1.0
6,2030,0.0
7,2031,0.0
8,2032,0.0
9,2033,1.0
10,2034,1.0
11,2035,1.0
12,2036,3.0
13,2037,0.0
14,2038,0.0
15,2039,0.0
16,2040,3.0
17,2041,1.0
18,2042,0.0
19,2043,0.0
20,2044,1.0
21,2045,2.0
22,2046,9.0
23,2047,2.0
24,2048,1.0
25,2049,2.0
26,2050,1.0
27,2051,5.0
28,2052,9.0
29,2053,1.0
30,2054,7.0
31,2055,14.0
32,2056,11.0
33,2057,7.0
34,2058,12.0
35,2059,16.0
36,2060,11.0
37,2061,22.0
38,2062,16.0
39,2063,19.0
40,2064,18.0
41,2065,1.0
42,2066,16.0
43,2067,36.0
44,2068,27.0
45,2069,29.0
46,2070,28.0
47,2071,36.0
48,2072,28.0
49,2073,20.0
50,2074,47.0
51,2075,35.0
52,2076,51.0
53,2077,65.0
54,2078,63.0
55,2079,68.0
56,2080,66.0
