,year,num_days_above_100
0,2024,0.0
1,2025,2.0
2,2026,3.0
3,2027,3.0
4,2028,3.0
5,2029,4.0
6,2030,6.0
7,2031,5.0
8,2032,0.0
9,2033,0.0
10,2034,5.0
11,2035,8.0
12,2036,4.0
13,2037,3.0
14,2038,2.0
15,2039,1.0
16,2040,2.0
17,2041,6.0
18,2042,7.0
19,2043,6.0
20,2044,7.0
21,2045,7.0
22,2046,9.0
23,2047,11.0
24,2048,12.0
25,2049,11.0
26,2050,12.0
27,2051,10.0
28,2052,15.0
29,2053,14.0
30,2054,19.0
31,2055,28.0
32,2056,21.0
33,2057,21.0
34,2058,15.0
35,2059,15.0
36,2060,16.0
37,2061,16.0
38,2062,18.0
39,2063,17.0
40,2064,24.0
41,2065,25.0
42,2066,15.0
43,2067,14.0
44,2068,26.0
45,2069,28.0
46,2070,26.0
47,2071,37.0
48,2072,30.0
49,2073,34.0
50,2074,34.0
51,2075,35.0
52,2076,44.0
53,2077,41.0
54,2078,39.0
55,2079,29.0
56,2080,27.0
