,year,num_days_above_100
0,1980,0.0
1,1981,0.0
2,1982,0.0
3,1983,0.0
4,1984,0.0
5,1985,0.0
6,1986,0.0
7,1987,0.0
8,1988,0.0
9,1989,0.0
10,1990,0.0
11,1991,0.0
12,1992,0.0
13,1993,1.0
14,1994,0.0
15,1995,1.0
16,1996,0.0
17,1997,0.0
18,1998,0.0
19,1999,2.0
20,2000,0.0
21,2001,1.0
22,2002,0.0
23,2003,0.0
24,2004,0.0
25,2005,0.0
26,2006,0.0
27,2007,0.0
28,2008,0.0
29,2009,0.0
30,2010,2.0
31,2011,1.0
32,2012,0.0
33,2013,0.0
34,2014,0.0
35,2015,0.0
36,2016,0.0
37,2017,0.0
38,2018,0.0
39,2019,0.0
40,2020,0.0
41,2021,0.0
42,2022,0.0
43,2023,0.0
44,2024,0.0
0,2025,5.0
1,2026,3.0
2,2027,3.0
3,2028,3.0
4,2029,4.0
5,2030,6.0
6,2031,5.0
7,2032,0.0
8,2033,0.0
9,2034,5.0
10,2035,8.0
11,2036,4.0
12,2037,3.0
13,2038,2.0
14,2039,1.0
15,2040,2.0
16,2041,6.0
17,2042,7.0
18,2043,6.0
19,2044,7.0
20,2045,7.0
21,2046,9.0
22,2047,11.0
23,2048,12.0
24,2049,11.0
25,2050,14.0
